id,名字,性别,门派,武学流派,等级,实力等级,性格,资质,年龄,立场,擅长武学,擅长技艺,绝学,标签,绰号,隐藏,出师角色,关系设定,皮肤ID,特殊skeleton
129,阮.芷,男,无,大隐阁,亲传弟子,3,灵活,究极,18,混乱/中立,奇门,,,桀骜不驯;浪费;刚愎;足智多谋;锐眼;见多识广;雅士,侠义七子,0,1,,-99,0
130,彗.定,男,无,少林寺,亲传弟子,3,固执,平平,27,戒律/仁慈,长兵,,,孜孜不倦;武痴;学佛;孔武有力;静修;化缘,侠义七子,0,1,朋友:131,-99,0
131,清.风,女,无,武当派,亲传弟子,3,算计,超群,20,无序/善良,剑法,,,无所用心;美貌;修道;手疾眼快;卜算,侠义七子,0,1,,-99,0
132,李.云鹤,女,无,药王谷,正式弟子,2,潇洒,聪颖,19,混乱/善良,射术,,,宅心仁厚;学医;勤奋;勇敢;视线模糊;医术,侠义七子,0,1,师傅:16,-99,0
133,吕.舞阳,男,无,蓬莱派,正式弟子,2,轻佻,聪颖,22,平常/冷酷,剑法,,,心狠手辣;练武;游手好闲;桀骜不驯,侠义七子,0,1,,-99,0
134,曲.佩环,女,无,默认,外门弟子,0,简单,聪颖,21,守序/中立,拳掌,,,美貌;余音绕梁;绘画;书法;雅士,,0,0,,-4,0
135,水.清秋,女,无,默认,入门弟子,1,灵活,超群,19,无序/冷酷,射术,,,明眸皓齿;博览群书;文思泉涌;习文,,0,0,,-6,0
136,柳.如月,女,无,默认,正式弟子,2,纯粹,究极,25,平常/仁慈,奇门,,,倾国倾城;舞态生风;炮凤烹龙,,0,0,,-1,0
137,殷.雨霏,女,无,默认,亲传弟子,3,固执,聪颖,24,戒律/冷酷,剑法/长兵,,,明眸皓齿;棋高一着;命途多舛,玉面判官,0,0,师傅:124,-5,0
138,北冥.雪,女,无,默认,长老,4,潇洒,超群,28,混乱/凶狠,刀法/射术,,,倾国倾城;盛气凌人;嗜赌如命;相士,,0,0,,-9,0
139,金.龙生,男,无,默认,副掌门,7,稳重,究极,61,平常/中立,内功/轻功/绝技,学识/口才,,武学天才;鸿儒大学;未卜先知;神机妙算;慧眼独具;博学多才;不老长生;起死回生;艺成百家;武学宗师,江湖百晓,0,0,,-3,1
140,天.残,男,无,默认,副掌门,6,固执,超群,71,混乱/善良,拳掌/剑法/刀法,,元始天功;飘飘欲仙;虎啸龙吟,缚鸡之力;旧病沉疴;铁手钢拳;人剑合一;一刀两断;炉火纯青;神出鬼没;绝艺超群;艺成百家;武学宗师,侠盗四奇,1,0,,-4,0
141,地.缺,男,无,默认,副掌门,6,简单,平平,68,守序/中立,剑法/刀法/奇门,,元始天功;飘飘欲仙;虎啸龙吟,东倒西歪;经脉断绝;奇门遁甲;人剑合一;一刀两断;炉火纯青;神出鬼没;绝艺超群;艺成百家;武学宗师,侠盗四奇,1,0,,-2,0
142,南.丑,男,无,默认,副掌门,6,轻佻,聪颖,65,无序/仁慈,奇门/长兵/射术,,元始天功;飘飘欲仙;虎啸龙吟,百丑千拙;雾里看花;奇门遁甲;例无虚发;枪扫六合;炉火纯青;神出鬼没;绝艺超群;艺成百家;武学宗师,侠盗四奇,1,0,,-3,0
143,北.怪,男,无,默认,副掌门,6,叛逆,究极,59,无序/善良,射术/拳掌/长兵,,元始天功;飘飘欲仙;虎啸龙吟,痴傻蒙昧;胆小如鼠;铁手钢拳;例无虚发;枪扫六合;炉火纯青;神出鬼没;绝艺超群;艺成百家;武学宗师,侠盗四奇,1,0,,-5,0
144,逍遥.生,男,无,大隐阁,副掌门,15,潇洒,究极,64,混乱/中立,奇门/绝技/轻功,,天劫九重;公输遗匣;碧海潮生曲,物我两忘;扭转乾坤;万物归墟;奇门遁甲;奇异莫名;游戏人间;未卜先知;神机妙算;鸿儒大学;慧眼独具,,1,1,,-99,0
145,独孤.剑,女,无,蓬莱派,副掌门,15,固执,超群,45,戒律/中立,剑法/轻功/内功,,无尽剑意;诛仙剑法;仙娥折梅,返璞归真;混元一气;太极圆转;人剑合一;气冲斗牛;武学天才;面壁功深;浪迹天涯;铁画银钩;妙至毫巅,,1,1,,-99,0
146,炼气.士,女,无,峨眉派,副掌门,15,纯粹,究极,55,平常/冷酷,射术/轻功/绝技,,多情飞刀;九天罗候针;漫天花雨;七星透骨钉;暴雨梨花针;碎颅钉;玉髓冰魄针;银丝网,不老长生;天人合一;先天真气;例无虚发;摘叶飞花;见血封喉;仙风道骨;皓首穷经;鸾吟凤唱;先天气海,,1,1,,-99,0
147,都.点检,男,无,飞龙门,副掌门,15,算计,超群,57,守序/凶狠,长兵/绝技/内功,,龙胤归藏功;打狗八绝棍;达摩神杖,轰天震地;登峰造极;不动如山;枪扫六合;枪出如龙;艺成百家;雄才伟略;苍鹰搏兔;一骑绝尘;运筹帷幄,,1,1,,-99,0
148,独臂.刀,男,无,阎罗殿,副掌门,15,忠厚,聪颖,49,戒律/善良,刀法/内功/绝技,,霸刀一式;净乐琉璃刀;蚩尤鬼降,十殿阎王;以劲御气;力降十会;一刀两断;削铁无声;避世绝俗;天煞孤星;侠义无双;至死不渝;背水一战,,1,1,,-99,0
149,斗酒.僧,男,无,少林寺,副掌门,15,灵活,究极,66,无序/仁慈,拳掌/内功/轻功,,醉梦鱼龙舞;灵犀一指;白虹贯日掌,即身成佛;功德圆满;天人合一;铁手钢拳;排山倒海;刀枪不入;醉生梦死;饕餮盛宴;赌运亨通;四大皆空,,1,1,,-99,0
150,王.添翼,男,青城派,默认,外门弟子,0,简单,聪颖,20,守序/仁慈,,,,忠心耿耿;勤奋;练武;仁慈;不幸,,0,0,,-99,0
151,雷.殷殷,女,霹雳堂,默认,亲传弟子,0,叛逆,超群,18,混乱/中立,射术,,,美貌;射术;盛气凌人;叛逆,小霹雳,0,0,,-99,0
152,赵.胤宗,男,无,飞龙门,亲传弟子,5,潇洒,究极,27,守序/中立,长兵/绝技/内功,,龙胤归藏功,轰天震地;登峰造极;不动如山;枪扫六合;枪出如龙;艺成百家;雄才伟略;苍鹰搏兔;一骑绝尘;运筹帷幄,,1,1,,-99,0
153,中年天.残,男,无,默认,亲传弟子,3,固执,超群,41,混乱/善良,拳掌,,,缚鸡之力;旧病沉疴;铁手钢拳;内力精纯;飞檐走壁;身怀绝技,侠盗四丑,1,0,,-4,0
154,中年地.缺,男,无,默认,亲传弟子,3,简单,平平,38,守序/中立,剑法,,,东倒西歪;经脉断绝;人剑合一;内力精纯;飞檐走壁;身怀绝技,侠盗四丑,1,0,,-2,0
155,中年南.丑,男,无,默认,亲传弟子,3,轻佻,聪颖,35,无序/仁慈,奇门,,,百丑千拙;雾里看花;奇门遁甲;内力精纯;飞檐走壁;身怀绝技,侠盗四丑,1,0,,-3,0
156,中年北.怪,男,无,默认,亲传弟子,3,叛逆,究极,29,无序/善良,射术,,,痴傻蒙昧;胆小如鼠;例无虚发;内力精纯;飞檐走壁;身怀绝技,侠盗四丑,1,0,,-5,0
157,赵.义仁,男,无,飞龙门,长老,5,算计,超群,29,戒律/凶狠,长兵,,逆转周天大法,唯我独尊;醉生梦死;心狠手辣;枪扫六合;枪芒;拔山扛鼎;钢筋铁骨;刀枪不入;绝艺超群,,1,1,,-99,0
158,石.守信,男,无,阎罗殿,长老,5,纯粹,超群,36,守序/凶狠,刀法/拳掌,采伐,万恶魔功;杀人刀法,唯我独尊;雄才伟略;公正不阿;一刀两断;拔山扛鼎;钢筋铁骨;刀枪不入;内力精纯;绝艺超群;刀锋,,1,1,,-99,0
159,中年赵.胤宗,男,无,飞龙门,副掌门,12,潇洒,究极,33,守序/中立,长兵/绝技/内功,,龙胤归藏功,轰天震地;登峰造极;不动如山;枪扫六合;枪出如龙;艺成百家;雄才伟略;苍鹰搏兔;一骑绝尘;运筹帷幄,,1,1,,-99,0
160,傅.砚之,男,无,默认,外门弟子,0,固执,聪颖,19,混乱/仁慈,拳掌/奇门,,禁军拳术,缚鸡之力;智力;学识;仁慈;儒生;博览群书;军师,,0,0,,-6,0
161,张.弥勒,男,无,默认,入门弟子,1,忠厚,平平,36,混乱/善良,拳掌,,,,拳佛,0,0,,10,0
162,陆.沉舟,男,无,默认,入门弟子,1,简单,平平,53,守序/中立,剑法,,,,陆地剑仙,0,0,,13,0
163,王.霸,男,无,默认,入门弟子,1,稳重,平平,48,戒律/冷酷,刀法,,,,横刀灭九州,0,0,,12,0
164,龙.灭,男,无,默认,入门弟子,1,算计,平平,32,戒律/善良,长兵,,,,铁枪破宇宙,0,0,,4,0
165,罗.八怪,男,无,默认,入门弟子,1,灵活,平平,28,混乱/中立,奇门,,,,出奇必胜,0,0,,15,0
166,菲.燕子,女,无,默认,入门弟子,1,轻佻,平平,26,无序/凶狠,射术,,,,百步穿针,0,0,,1,0
167,叶.寒,男,无,默认,亲传弟子,3,叛逆,超群,24,守序/冷酷,刀法/射术,,,叛逆;酒鬼;赌运亨通;游戏人间,百骰百胜,0,0,,-7,0
168,李.天临,男,无,默认,入门弟子,2,纯粹,究极,18,平常/仁慈,剑法/奇门,,,武学天才;正直;勤奋;游侠,,0,0,,-4,0
169,熊.刚,男,无,默认,入门弟子,1,潇洒,平平,30,混乱/冷酷,刀法,,,残忍;强壮,滚地雷,0,0,,-8,0
170,王.伦,男,无,默认,亲传弟子,3,算计,平平,32,混乱/冷酷,射术,,,阴险;刚愎,白衣秀士,0,0,,-6,0
