id,类别,等级,名字,描述,基础威力,经验系数,修炼效果,运功效果,威力系数,修炼需求,攻击范围,伤害范围,使用特效,内力消耗,所属势力,使用目标,攻击架势,防御架势,召唤ID,使用次数,动作,子弹,特效,使用武器,伤害顺序,角色位移,Trail,隐藏
298,射术,1,铜蟾蜍,本是商贾招财进宝之摆件，熟铜铸就，颇有几分重量，改作暗器倒也还算趁手,10,1.1,射术1;体质1,,体质2;射术2;内力0.2,射术20;体质10,"0,1,2","0,0,0",昏沉0.04;裂膝0.04,9,0,0,胸19,胸8,,,skill5_1,15-----1,劈砍_紫-Target-Grid-Happen,,Same,FALSE,0,0
299,刀法,1,两面三刀法,长乐帮众所使之基础刀法，出手力道颇大，往往令人猝不及防,14,1,刀法1;力道1,,力道2;刀法2;内力0.1,刀法15;力道10,"3,1,1","7,0,0",外伤0.03;流血0.03,10,0,0,腹18,腹10,,,skill2_1,,三连劈砍-Target-Grid-Happen;尘土-Target-Grid-Happen,刀,Same,FALSE,0,0
300,内功,2,知足常乐功,长乐帮正式弟子有时需要迎送贵客，此时摆出知足常乐之笑脸，方为生财之道,,0.9,内功2;体质1,生命上限90;内力上限30;内功9;体质9;虚弱0.08,,内功25;体质20,,,,0,0,0,,,,,,,,,Same,FALSE,0,0
301,轻功,2,脚踏飞燕,此步法善于运用巧劲，腾空之时，灵动轻盈，若踏飞燕而上,,1,轻功2;力道1,轻功6;力道6;灵巧6;速度0.08,,轻功30;力道15;灵巧15,,,,0,0,0,,,,,,,,,Same,FALSE,0,0
302,绝技,2,嬉皮笑脸,所谓伸手不打笑脸人，长乐帮众对战时好以笑脸相迎，江湖中人碍于情面，往往也不忍痛下杀手,,1,绝技2;意志1,绝技9;意志9;卸力0.08;负面抗性0.08,,绝技30;意志20,,,,0,0,0,,,,,,,,,Same,FALSE,0,0
303,射术,2,长乐散,长乐帮特制乱人心神之毒药，中此毒者或狂呼或大笑，手舞足蹈，丑态百出,12,1,射术2;意志1,,意志2;射术2;内力0.2,射术30;意志20,"4,0,0","5,1,3",混乱0.15,12,0,0,头21,头8,,,skill5_1,11-----1,紫雾-Target-Grid-Happen,,Distance,FALSE,0,0
304,刀法,2,长乐刀法,长乐帮众所使强身健体之刀法，招式严谨中正，四平八稳，擅长以守代攻,16,0.9,刀法2;体质1,,体质1;刀法2;内力0.2,刀法25;体质15,"4,0,0","4,1,2",铜皮0.08,16,0,0,胸16,胸14,,,skill2_1,,十字斩-Target-Grid-Happen,刀,Same,FALSE,0,0
305,刀法,2,笑里藏刀式,长乐帮众所使力道强横之刀法，招式发力迅猛，大开大合，擅长以攻代守,15,1.1,刀法2;力道1,,力道3;刀法1;内力0.1,刀法30;力道25,"2,1,1","7,0,0",外伤0.08,14,0,0,心13;腹8,心6;腹4,,,skill2_0,,爆炸灰-Target-Grid-Happen,刀,Same,FALSE,0,0
306,内功,3,活弥勒心法,长乐帮亲传弟子时常需要接洽官府中人乃至皇亲贵胄，此时以极度欢喜之情相迎，自然事半功倍,,0.9,内功潜力1;内功1;体质1,生命上限100;内力上限60;内功12;体质12;昏沉0.1;负面抗性0.05,,内功40;体质25,,,,0,0,0,,,,,,,,,Same,FALSE,0,0
307,轻功,3,得意春风步,此步法灵动大气，潇洒自然，有欣喜豪爽之意，可谓春风得意马蹄疾，一日看尽长安花,,1,轻功潜力1;轻功1;意志1,轻功12;意志12;速度0.1,,轻功45;意志35,,,,0,0,0,,,,,,,,,Same,FALSE,0,0
308,绝技,3,放浪形骸,此绝技姿势奇特，狂放不羁，大摇大摆之间，可将自身的力道催发到极致,,1.1,绝技潜力1;绝技1;力道1,绝技12;力道12;虚弱0.05;昏沉0.05,,绝技50;力道30,,,,0,0,0,,,,,,,,,Same,FALSE,0,0
309,射术,3,极乐刺,长乐帮独门暗器，专攻人头脑心腹，其毒性一旦侵入心脉，中毒者便会大笑狂舞三天三夜而死,16,1.1,射术潜力1;射术1;意志1,,意志2;射术3;内力0.2,射术50;意志30,"0,2,5","0,0,0",混乱0.08;乱神0.08,18,0,0,头10;心14,头4;心4,,,skill5_0,7-----0.95,暗影-Target-Grid-Happen,,Same,FALSE,0,0
310,刀法,3,游龙戏凤刀,戏子出身的用刀高手从武生套路中悟出，其招式龙飞凤舞，绵绵不绝，煞是好看，亦是擅长久战之刀法,17,0.9,力道潜力1;刀法1;体质1,,体质3;刀法2;内力0.3,刀法40;体质30;力道20,"3,1,3","0,0,1",疲劳0.06;蓄力0.06,19,0,0,手11;足11,手7;足7,,,skill2_2,,腾龙-Target-Grid-Happen;花散-Target-Grid-Happen,刀,Same,FALSE,0,0
311,刀法,3,一刀两断法,双手持刀，将全身力道集中于刀刃，简单刚猛之招式，其一刀劈下，威势惊人，着者无不两断,18,1,刀法潜力1;刀法1;力道1,,力道2;刀法3;内力0.2,刀法45;力道35,"4,0,0","4,1,4",外伤0.1,21,0,0,头14;胸8,头6;胸6,,,skill2_1,,劈砍_蓝裂地-Target-Grid-Happen,刀,Same,FALSE,0,0
312,内功,4,喜怒哀乐大法,长乐帮顶级内功，将内息流转蕴含于喜怒哀乐情绪收放间，心随意动，劲由心生，无形无影，伤人于瞬息之间,,1.2,意志潜力1;内功潜力1;内功2,生命上限140;内力上限60;内功10;意志10;体质10;虚弱0.04;混乱0.04;昏沉0.04;负面加成0.04,,内功65;意志50;体质30,,,,0,0,0,,,,,,,,,Same,FALSE,0,0
313,轻功,4,日月凌空,相传乃女皇武则天所创，敬神祭天时所走之步法，亦步亦趋，端庄大气，举手投足间颇具帝王声威,,1,力道潜力1;轻功潜力1;轻功2,轻功10;力道10;意志10;反击0.06;卸力0.06,,轻功60;力道45;意志25,,,,0,0,0,,,,,,,,,Same,FALSE,0,0
314,射术,4,千金一掷,极速投掷金钱镖之手法，其登峰造极者，举手一掷间便可发出铜钱千枚，遮天蔽日令人难以躲避,21,1.1,射术潜力2;射术1;意志1,,意志3;射术3;内力0.2,射术65;意志55,"0,2,4","0,0,1",笨拙0.06;乱神0.06,24,0,0,胸16;腹12,胸2;腹3,,,skill5_1,16-----1.2,铜钱散-Target-Grid-Happen;极速剑影-Target-Grid-Happen,,Same,FALSE,0,0
315,刀法,4,醉阎罗刀法,看似东倒西歪，跌撞摇摆，实则形醉意不醉，处处暗含闪转腾挪，虚实混杂之法，应对者稍有疏忽便见阎王去也,20,1,力道潜力1;体质潜力1;刀法1;体质1,,体质4;刀法2;内力0.2,刀法55;体质50;力道30,"0,1,2","7,0,0",混乱0.06;弱点0.06,25,0,0,手12;足11,手7;足7,,,skill2_2,,鲜血狂乱-Target-Grid-Happen;血爪狂-Target-Grid-Happen,刀,Same,FALSE,0,0
316,刀法,4,恩断义绝刀法,攻敌要害，倾力出击，是罕见的不留丝毫退路之杀招，难怪江湖皆称长乐帮刀法繁多，以恩断义绝一式最为伤人,22,1,刀法潜力2;刀法1;力道1,,力道4;刀法3;内力0.1,刀法60;力道45,"4,0,0","8,1,4",外伤0.06;虚弱0.06,26,0,0,头14;心10,头5;心6,,,skill2_1,,血雾-Target-Grid-Happen;血爪爆-Target-Grid-Happen,刀,Same,FALSE,0,0
317,轻功,5,醉梦鱼龙舞,观元宵舞鱼龙彩灯的游行人群而悟，步法纷繁复杂，影影绰绰，身形虚幻难寻，待蓦然回首已在灯火阑珊处,,1,轻功潜力2;意志潜力1;力道1;意志1,轻功12;力道12;意志12;混乱0.08;目盲0.08,,轻功75;力道60;意志50,,,,0,0,0,,,,,,,,,Same,FALSE,0,0
318,刀法,5,净乐琉璃刀,长乐帮主乐无疾成名绝技，刀势玲珑剔透，乍看之下一览无余，实则蕴含无数精妙无比的刀意，再严密之防御也如透明一般,25,1,意志潜力2;力道潜力1;刀法潜力1,,力道1;意志5;刀法2;内力0.1,刀法75;意志65;力道45,"4,0,0","8,1,3",外伤0.06;流血0.06;定神0.06,28,0,0,足10;手10;胸10,足4;手4;胸4,,,skill2_2,,冰域-Target-Grid-Start;劈砍_黑白多重中-Target-Grid-Happen,刀,Same,FALSE,0,0
319,内功,0,阴手伤人法,唐门入门心法，专练收发暗器之阴狠内劲,,1,内功1,生命上限10;内力上限10;内功6;力道6;射术威力0.04,,内功10;射术5,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
320,轻功,0,走房檐,于房檐之上奔跑行走的轻功，常为民间宵小之徒所用,,0.8,轻功1,轻功4;灵巧4;闪避0.04,,轻功5;灵巧5,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
321,绝技,0,心眼功,唐门锻炼心智与眼力的初级法门，乃一切暗器手法之基,,1.1,绝技1,绝技4;智力4;暴击0.04;负面加成0.04,,绝技10,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
322,射术,0,毒蒺藜,形如蒺藜之常见暗器，表面遍布尖刺且涂有些微毒药,8,0.9,灵巧1,,智力2;射术1;内力0.1,射术5;智力5,"0,2,3","0,0,0",毒素0.02;裂膝0.02,3,1,0,足18,足5,,,skill5_0,1-----0.8,紫雾-Target-Grid-Happen,,Same,FALSE,0,0
323,射术,0,绣花针,本是织女绣花所用极细之钢针，用来作为暗器威力较小，但颇难察觉,6,0.8,射术1,,灵巧1;射术1;内力0.4,,"0,3,4","0,0,0",流血0.12,2,1,0,腹17,腹6,,,skill5_1,4-----0.7,劈砍_多重小-Target-Grid-Happen,,Same,FALSE,0,0
324,射术,0,三寸钉,长约三寸之长铁钉，以暗器手法发出，能够穿透木板，颇具几分威力,10,1,射术1,,力道1;射术2,射术10,"0,1,2","0,0,0",暴击0.04,4,1,0,头19,头4,,,skill5_0,7-----0.7,劈砍-Target-Grid-Happen,,Same,FALSE,0,0
325,刀法,0,袖里藏刀,为江湖人士所不齿之刀法，需将兵刀藏于袖中，待敌人近前，突然出手，以偷袭取胜,12,1.1,刀法1,,灵巧2;刀法1;内力0.1,刀法5;灵巧5,"4,0,0","4,1,1",笨拙0.02,5,1,0,心16,心7,,,skill2_0,,爆叶-Target-Grid-Happen;穿刺_风电-Target-Grid-Happen,刀,Same,FALSE,0,0
326,内功,1,七窍玲珑功,唐门着重锻炼七窍五感之内功心法，需得日夜苦练方能成玲珑之功,,1,内功1;灵巧1,生命上限20;内力上限20;内功8;智力8;射术威力0.06,,内功10;智力10;射术10,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
327,轻功,1,鹞子翻身,翻转身体，腾空倒跃，上房翻墙，颇为便捷,,0.9,轻功1;力道1,轻功6;力道6;闪避0.06,,轻功10;力道5,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
328,绝技,1,隐匿术,屏息凝神，隐藏身形，刺客盗匪所修之法门,,1,绝技1;智力1,绝技6;灵巧6;暴击0.06;负面加成0.06,,绝技15,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
329,射术,1,错骨钩,唐门特制暗器，上有机关，一旦命中便自动刺出倒钩，着者难免皮开肉绽，错骨伤筋,14,1.2,射术1;力道1,,力道1;射术2;内力0.1,射术20;力道10,"2,1,3","0,0,0",断骨0.04;不愈0.06,10,1,0,足21,足5,,,skill5_0,10-----0.9,血轮-Target-Grid-Happen,,Same,FALSE,0,0
330,射术,1,牛毛针,细如牛毛之钢针，一次发出多枚，威力不足以伤人性命，却能扰人心智，阻人血脉,4,1.1,射术1;灵巧1,,灵巧2;射术1;内力0.3,射术10;灵巧15,"0,3,5","0,0,0",震脑0.08;凝血0.08,6,1,0,腹19,腹7,,,skill5_1,4-----0.75,劈砍_多重小-Target-Grid-Happen,,Same,FALSE,0,0
331,射术,1,青蜂钉,长约一寸之短铁钉，淬有蜂毒，因此隐隐散发青光,11,1,智力1;毒术1,,射术3;内力0.2,射术15;智力15,"0,2,4","0,0,0",毒素0.06,8,1,0,头20,头6,,,skill5_0,7-----0.8,爆叶-Target-Grid-Happen,,Same,FALSE,0,0
332,刀法,1,机关弹刀,结合了暗器手法的奇特短刀，触动刀柄机关，刀刃便会弹射而出，出人意料，攻敌不备,9,1,刀法1;智力1,,智力2;刀法2;射术1,刀法15;智力10,"4,0,0","4,1,3",流血0.1,7,1,0,心20,心9,,,skill2_0,,爪痕-Target-Grid-Happen,刀,Same,FALSE,0,0
333,内功,2,九转飞芒功,唐门独特内家心法，以此内劲所发之暗器，可以空中转向九次，任你轻功再高也难以闪避,,1.2,内功2;灵巧1,生命上限40;内力上限40;内功12;灵巧12;鹰眼0.04;射术威力0.06,,内功30;灵巧20;射术20,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
334,轻功,2,金蝉脱壳,擅长逃脱闪避之轻功步法，可以快速拉开距离，避免与敌人近身缠斗,,0.9,轻功2;智力1,轻功9;智力9;闪避0.08,,轻功25;智力15,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
335,绝技,2,袖里乾坤,唐门暗器高手可在袖中暗藏数十种不同暗器，无论想使哪种，不需找寻，一挥袖便能发出,,1,绝技2;射术潜力1,绝技9;射术9;连绵0.04;射术威力0.04;负面加成0.04,,绝技25;射术25,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
336,射术,2,银丝网,用细密银线编织之网，一旦罩住猎物后会自行不断收紧，寻常兵刃无法砍动,3,0.9,灵巧1;智力1;射术1,,灵巧1;射术3;内力0.3,射术25;灵巧15,"0,2,5","1,0,1",腿足点穴0.16,9,1,0,足24,足4,,,skill5_0,8-----0.9,网缠-Target-Grid-Happen,,Distance,FALSE,0,0
337,射术,2,断肠针,敷有剧毒之钢针，其断肠草之毒性令人痛不欲生，若命中心腹部位则会加快毒性发作,14,1,射术1;灵巧1;毒术1,,灵巧2;射术2;内力0.2,射术30;灵巧25,"0,3,5","0,0,0",毒素0.1;不愈0.04,11,1,0,腹21,腹8,,,skill5_1,5-----1,毒素-Target-Grid-Happen,,Same,FALSE,0,0
338,射术,2,穿心钉,专攻敌人心胸部位之钢钉，较之其他暗器要锋利沉重许多，因此穿透力不俗,16,1.1,射术2;智力1,,智力3;射术1;内力0.1,射术35;智力20,"0,2,3","0,0,0",裂膝0.04;穿甲0.04,12,1,0,头22,头7,,,skill5_0,7-----0.9,血圈-Target-Grid-Happen,,Same,FALSE,0,0
339,刀法,2,飞叶斩片刀,外表平平之钢刀，实则由数十枚叶片叠成，触动机关弹开叶片，如孔雀开屏，刀光鳞鳞颇为奇异华丽,15,1,刀法1;灵巧1;智力1,,灵巧2;智力2;刀法1,刀法30;灵巧20;智力10,"4,0,0","5,1,2",流血0.08,14,1,0,心19,心12,,,skill2_0,,羽毛-Target-Grid-Happen;劈砍_黑白多重中-Target-Grid-Happen,刀,Same,FALSE,0,0
340,内功,3,百手千指功,唐门秘传心法，以内息驱使五指手臂，使其灵巧倍增，发箭掷镖如疾风骤雨，堪比百手千指之功,,1.1,内功潜力1;内功1;灵巧1,生命上限50;内力上限50;内功15;灵巧15;暴击0.05;连绵0.05;射术威力0.05,,内功40;灵巧30;射术30,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
341,轻功,3,鬼影重重,此步法飘忽诡谲，无声无息，挪移闪烁之间只留下重重黑影，有如鬼魅,,1,轻功潜力1;轻功1;力道1,轻功12;力道12;暴击0.05;闪避0.05,,轻功45;力道30,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
342,绝技,3,绵里藏针,唐门隐藏出手痕迹的暗杀之法，挥手之间绵软似无力，却能激射出致命暗器，令人无从防备,,1,绝技潜力1;绝技1;智力1,绝技12;智力12;暴击0.05;射术威力0.05;负面加成0.05,,绝技45;智力30;射术25,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
343,射术,3,孔雀翎,孔雀翎毛编织而成的羽扇，内藏毒针，发动之时，四射飞散，如孔雀开屏，斑斓炫目,17,1.1,智力潜力1;毒术潜力1;智力1,,智力3;射术3;内力0.2,射术50;智力25,"4,0,0","5,1,2",毒素0.05;昏沉0.05,17,1,0,足10;胸16,足1;胸4,,,skill5_0,12-----0.9,毒雾-Target-Grid-Happen,,Distance,FALSE,0,0
344,射术,3,玉髓冰魄针,极细之玉针，带有的冰寒之气一旦刺入人体，便会在经脉中自行游走，阻滞内息运行,16,1,射术潜力1;灵巧1;智力1,,智力1;射术2;内力0.4,射术40;智力30;灵巧25,"0,2,5","0,0,0",冰寒0.06;截脉0.06,15,1,0,腹15;心8,腹4;心5,,,skill5_1,4,冰块-Target-Grid-Happen,,Same,FALSE,0,0
345,射术,3,碎颅钉,黢黑粗大之钢钉，边缘有增加穿透力的锋棱，以其劲道迅猛可以击碎头颅，故而闻名,18,1,射术潜力1;射术1;灵巧1,,灵巧2;射术4;内力0.1,射术45;灵巧35,"0,2,4","0,0,0",头颈点穴0.05;穿甲0.05,18,1,0,头14;胸10,头6;胸3,,,skill5_0,7-----1,地面打击4-Target-Grid-Happen,,Same,FALSE,0,0
346,刀法,3,百转千折刀,给刀柄安装机关，使刀刃可以弯折旋转，因此可从各种诡异角度出刀，招式变化无穷,17,0.9,灵巧潜力1;刀法1;力道1,,力道1;灵巧3;刀法2,刀法45;灵巧30;力道20,"3,1,2","0,0,1",裂膝0.05;流血0.05,16,1,0,心11;足10,心7;足6,,,skill2_0,,极速剑影-Target-Grid-Happen,刀,Same,FALSE,0,0
347,绝技,4,天阴柔劲,唐门专练阴柔手劲之法，以此发出暗器，如丝线牵引一般，忽快忽慢，随心而动，或凌空停滞不落，极为精妙,,1,绝技潜力1;灵巧潜力1;绝技2,绝技15;灵巧15;暴击0.08;射术威力0.04;负面加成0.04,,绝技55;灵巧55;射术45,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
348,射术,4,观音泪,以珍珠打磨而成的水滴形暗器，在剧毒中泡制百日方能使用。中此者血脉爆裂，惨不忍睹，观音视之亦会落泪,15,0.9,毒术潜力2;灵巧1;智力1,,灵巧4;射术2;内力0.3,射术55;灵巧50,"0,2,3","0,0,1",毒素0.12;不愈0.06,19,1,0,足10;胸18,足1;胸5,,,skill5_0,13-----1.1,多重暗影-Target-Grid-Happen,,Same,FALSE,0,0
349,射术,4,暴雨梨花针,以连绵不断之手法发射钢针，其攻势密如骤雨，急如暴风，功力不足者，也只能如娇弱梨花般被雨打风吹而去,18,1.1,智力潜力2;射术1;灵巧1,,灵巧3;射术3;内力0.2,射术60;灵巧40,"0,3,6","0,0,0",连绵0.08;流血0.08,20,1,0,腹17;心8,腹5;心5,,,skill5_1,4-----1.1,极速剑影-Target-Grid-Happen,,Same,FALSE,0,0
350,射术,4,七星透骨钉,一次发出七枚透骨钢钉之手法，可同时攻击七个不同部位，其中暗含星宿阵法之理，唯有聪慧过人者方能完全掌握,21,1.2,射术潜力2;射术1;智力1,,智力2;射术4;内力0.1,射术65;智力50,"0,2,4","0,0,0",裂膝0.06;穿甲0.06,22,1,0,头18;胸8,头8;胸2,,,skill5_1,7-----1.1,劈砍_红多重-Target-Grid-Happen,,Same,FALSE,0,0
351,刀法,4,万化玄机刀,唐门机巧工艺之结晶，刀刃可伸缩、弯折、展开、飞射，因其结构复杂难以维护，长老以上方可使用,20,1,灵巧潜力2;刀法1;力道1,,灵巧4;刀法3;内力0.1,刀法60;灵巧45;力道30,"1,1,1","7,0,0",破招0.12,21,1,0,足14;心9,足8;心6,,,skill2_0,,劈砍_黑白多重中-Target-Grid-Happen,刀,Same,FALSE,0,0
352,绝技,5,漫天花雨,唐门暗器种类纷繁复杂，大小重量，使用方法不尽相同，此手法却能一次发出数十种暗器，颇有花雨漫天飘零之意,,1.1,绝技潜力1;射术潜力1;灵巧潜力1;智力潜力1,绝技12;灵巧12;智力12;连绵0.06;暴击0.06;射术威力0.06,,绝技60;灵巧60;智力60;射术60,,,,0,1,0,,,,,,,,,Same,FALSE,0,0
353,射术,5,九天罗候针,唐门至高暗器，平平无奇的黑色钢针，却是以九种剧毒淬炼而成，见血封喉，无比凶险，江湖中人闻之无不两股战战，望风逃遁,24,1,射术潜力1;灵巧潜力1;智力潜力1;毒术1,,灵巧5;智力1;射术3,射术75;灵巧65;智力55,"0,4,7","0,0,0",暴击0.08;毒素0.08;不愈0.08,24,1,0,心12;腹12;足12,心2;腹2;足2,,,skill5_0,12-----1.1,毒刺-Target-Grid-Happen,,Same,FALSE,0,0
354,内功,0,千金要方,药王孙思邈所撰医书，有药方数千，博采众长，堪称医药研习之基本，武林中人习之亦有调元养身之功效,,0.9,内功1,生命上限20;内力上限20;内功3;经脉3;医术2;毒术1;疗伤0.04;抗耐药性0.02,,内功5;经脉5;医术5,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
355,轻功,0,悬绳功,在悬挂绳索上修习，或跑动，或跳跃，或打坐，或小憩，可锻炼身形平衡和下盘之稳固,,0.9,轻功1,轻功4;体质4;卸力0.04,,轻功5,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
356,绝技,0,推拿法,此按摩手法可疏通经脉，活络气血，也能缓解过度练功后的肌肉酸痛,,1.1,绝技1,绝技4;智力2;经脉2;康复0.04,,绝技5;智力5,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
357,拳掌,0,微雨指法,绵若无物之指法，其劲道如和风细雨，能缓缓侵入经脉，闭人手臂之穴道,4,1,拳掌1,,经脉2;拳掌1;内力0.2,拳掌5;经脉5,"0,1,1","7,0,0",手臂点穴0.15,2,2,0,手16,手12,,,skill0_2,,寒冰-Target-Grid-Happen,拳,Same,FALSE,0,0
358,拳掌,0,化瘀掌,从推拿手法中演化而来，以巧劲攻敌软弱之处，也能借反冲力道畅通自身气血,10,1.1,经脉1,,医术1;拳掌2;内力0.2,医术10,"1,1,1","0,0,0",恢复0.03;康复0.03,4,2,0,腹15,腹10,,,skill0_1,,打击5-Target-Grid-Happen;真气-Target-Grid-Happen,拳,Same,FALSE,0,0
359,射术,0,药王针术,药王孙思邈所传之针灸术，以毫针捻转提插，刺激穴位，从而疏经通络，活血化瘀,-3,1,射术1,,医术0.1;射术0.1;内力0.01,射术5;医术5,"0,0,1","0,0,0",疗伤0.04,5,2,1,,,,,skill5_0,4-----0.8,治疗-Target-Grid-Happen,,Same,FALSE,0,0
360,内功,1,采补养元功,药王谷入门心法，采天地精华，养自身元气，有增强内息，延年益寿之功效,,1,内功1;经脉1,生命上限40;内力上限40;内功4;经脉4;体质4;疗伤0.04;康复0.04,,内功15;经脉10,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
361,轻功,1,采燕功,药王谷峭壁上盛产名贵补品：燕窝，采摘者需悬绳垂于崖面之上移行采撷，稍作不慎便会粉骨碎身,,1.2,轻功1;体质1,轻功4;灵巧6;体质4;回体2;抗耐药性0.02,,轻功15;体质10,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
362,绝技,1,回春丹方,记叙丹方的歌诀，学医之人熟记并日常背诵，可以打磨心智，锻炼记忆,,0.9,绝技1;智力1,绝技4;智力4;经脉4;疗伤0.04;康复0.02;抗耐药性0.04,,绝技10;智力5,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
363,拳掌,1,指点十一式,基础点穴手法，药王谷入门弟子常借修习此功夫来辨认穴位，学习经脉走向,9,0.9,智力1;医术1,,智力2;拳掌1;医术2,拳掌10;智力10;医术10,"0,1,2","0,0,0",心胸点穴0.1;头颈点穴0.05,7,2,0,腹6;足9,腹4;足7,,,skill0_2,,爪痕-Target-Grid-Happen,拳,Same,FALSE,0,0
364,拳掌,1,春蚕掌,此掌法擅长久战，招式以守代攻，绵密无比，劲道如春蚕吐丝般缠绕敌人，令其疲敝不堪,8,1,拳掌1;体质1,,体质2;拳掌2;内力0.1,拳掌15;体质10,"1,1,1","7,0,0",疲劳0.1,8,2,0,手8,胸14;手8,,,skill0_1,,网缠-Target-Grid-Happen,拳,Same,FALSE,0,0
365,射术,1,芙蓉金针,药王谷独门针灸手法，在数步距离上射出金针，替人远程渡穴疗伤，因有一定风险，需精习医术者方能使用,-6,1.1,射术1;经脉1,,医术0.2;经脉0.1;射术0.1,射术15;经脉5;医术15,"0,0,2","0,0,0",疗伤0.08,10,2,1,,,,,skill5_0,4-----0.9,治疗-Target-Grid-Happen,,Same,FALSE,0,0
366,内功,2,金针伐脉术,将内息运于金针之上的独特心法，刺中穴位后，内劲如涓流渗入经脉，治病救人还是扰乱内息，全在一念之间,,1,内功2;经脉1,生命上限60;内力上限60;内功6;经脉6;智力6;医术6;调息0.04;内伤0.04;抗耐药性0.04,,内功30;经脉20;医术15,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
367,轻功,2,灵鳌步,注重防御之步法，其身形弯腰弓背，左挡右支，每日演练也有养生健体之功效,,0.9,轻功2;体质1,轻功4;体质6;经脉6;回血0.005;回体1;抗耐药性0.04,,轻功25;体质15,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
368,绝技,2,金钗刮膜功,用金鎞刮去眼球表面的薄膜，使盲人复明之法。施此术者，眼力手劲均须极巧极稳，稍有差池便会伤人眼球,,1.2,绝技2;智力1,绝技6;灵巧6;智力6;疗伤0.04;鹰眼0.04;抗耐药性0.04,,绝技25;智力25;医术25,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
369,拳掌,2,凝血指,以内劲攻击人体关键穴位之指法，中招者血流淤塞，经脉受阻，只得任人鱼肉,16,1.1,拳掌2;经脉1,,拳掌2;医术3;内力0.1,拳掌30;医术20,"4,0,0","4,1,2",凝血0.05;不愈0.05,16,2,0,腹12;足8,腹4;足4,,,skill0_2,,血雾-Target-Grid-Happen,拳,Same,FALSE,0,0
370,拳掌,2,摧心掌,药王谷少有的狠辣武功，将猛烈内劲拍入敌方心脉，内力不足以相抗者，便会落得心脏爆裂而亡的下场,17,1.1,拳掌1;经脉1;智力1,,经脉2;拳掌2;内力0.2,拳掌35;经脉15,"1,1,2","0,0,0",内伤0.1,18,2,0,心18;胸6,心2;胸2,,,skill0_1,,血圈-Target-Grid-Happen,拳,Same,FALSE,0,0
371,射术,2,天王补心针,此针灸之法专门医治心脉重疾，对于气血亏虚之人大有裨益，亦有安定心神之功效,-9,1,射术1;智力1;体质1,,医术0.1;智力0.3;射术0.1,射术20;智力20;医术30,"1,0,1","0,0,0",疗伤0.06;蓄力0.06,15,2,1,,,,,skill5_0,4,治疗-Target-Grid-Happen,,Same,FALSE,0,0
372,内功,3,扁鹊回春功,战国名医扁鹊所留之医书，其中妙药灵方无数，更兼锤炼经脉之神奇法门，可大大增加内息潜能,,1,体质潜力1;经脉潜力1;医术潜力1,生命上限80;内力上限80;内功8;经脉8;医术8;毒术4;疗伤0.05;康复0.1;抗耐药性0.05,,内功40;经脉20;医术40,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
373,轻功,3,女娲补天式,修习者模仿女娲神姿，身形挺立手举过顶，作托天撼地之姿，上身飘逸，下盘稳固，有锻炼全身筋骨之功效,,0.9,轻功潜力1;轻功1;体质1,轻功6;意志9;体质9;疗伤0.04;卸力0.06,,轻功40;体质35,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
374,绝技,3,移花接木,本是园艺嫁接手法，经药王谷改进成一门复位关节，接骨正畸之绝技，对使用者手眼功夫和心智神识均有裨益,,1.2,智力潜力1;绝技1;智力1;医术1,绝技3;灵巧9;智力9;医术6;康复0.05;斗转0.05;抗耐药性0.05,,绝技45;智力40,,,,0,2,0,,,,,,,,,Same,FALSE,0,0
375,拳掌,3,九幽黄泉指,专攻人体周身紧要死穴的狠毒指法，中招者五内翻滚，经脉逆行，如坠九幽黄泉,18,1.1,拳掌潜力1;拳掌1;经脉1,,经脉1;拳掌2;内力0.4,拳掌45;经脉35,"4,0,0","4,1,3",截脉0.06;不愈0.06,20,2,0,心10;腹12,心8;腹4,,,skill0_2,,喷毒-Target-Grid-Happen,拳,Distance,FALSE,0,0
