编号,名称,价值,影响目标,效果,同义组,反义组,可随机,展示顺序,领悟需求,替换,大类,显示箭头
222,武学天才,3,Self,实战经验+0.3;理论经验+0.3,练武,,1,0,天赋:武痴,武痴,志向,FALSE
223,学医,1,Self,医术经验+0.2;毒术经验+0.2,学医,,1,0,,,志向,TRUE
224,医师,2,Self,医术经验+0.4;毒术经验+0.4,学医,,1,0,天赋:学医,学医,志向,TRUE
225,济世神医,3,Self,医术经验+0.6;毒术经验+0.6,学医,,1,0,天赋:医师,医师,志向,FALSE
226,习文,1,Self,学识经验+0.2;口才经验+0.2,习文,,1,0,,,志向,TRUE
227,雅士,2,Self,学识经验+0.4;口才经验+0.4,习文,,1,0,天赋:习文,习文,志向,TRUE
228,文采斐然,3,Self,学识经验+0.6;口才经验+0.6,习文,,1,0,天赋:雅士,雅士,志向,FALSE
229,务农,1,Self,采伐经验+0.2;木植经验+0.2,务农,,1,0,,,志向,TRUE
230,农家,2,Self,采伐经验+0.4;木植经验+0.4,务农,,1,0,天赋:务农,务农,志向,TRUE
231,在世神农,3,Self,采伐经验+0.6;木植经验+0.6,务农,,1,0,天赋:农家,农家,志向,FALSE
232,学徒,1,Self,锻造经验+0.2;炼药经验+0.2;烹饪经验+0.2,学徒,,1,0,,,志向,TRUE
233,工匠,2,Self,锻造经验+0.4;炼药经验+0.4;烹饪经验+0.4,学徒,,1,0,天赋:学徒,学徒,志向,TRUE
234,能工巧匠,3,Self,锻造经验+0.6;炼药经验+0.6;烹饪经验+0.6,学徒,,1,0,天赋:工匠,工匠,志向,FALSE
235,经商,1,Self,买卖优势+0.05,经商,,1,0,,,志向,TRUE
236,善贾,2,Self,买卖优势+0.1,经商,,1,0,天赋:经商,经商,志向,TRUE
237,囤积居奇,3,Self,买卖优势+0.15,经商,,1,0,天赋:善贾,善贾,志向,FALSE
238,从政,1,Self,功绩获取+0.1;声望获取+0.1,从政,,1,0,,,志向,TRUE
239,仕官,2,Self,功绩获取+0.2;声望获取+0.2,从政,,1,0,天赋:从政,从政,志向,TRUE
240,位极人臣,3,Self,功绩获取+0.3;声望获取+0.3,从政,,1,0,天赋:仕官,仕官,志向,FALSE
241,杂学,1,Self,技艺经验+0.1,杂学,,1,0,,,志向,TRUE
242,通才,2,Self,技艺经验+0.2,杂学,,1,0,天赋:杂学,杂学,志向,TRUE
243,博学多才,3,Self,技艺经验+0.3,杂学,,1,0,天赋:通才,通才,志向,FALSE
244,淡泊,1,Self,功绩获取-0.05;声望获取-0.05;负面抗性+0.05,淡泊,,1,0,,,志向,TRUE
245,隐士,2,Self,功绩获取-0.1;声望获取-0.1;负面抗性+0.1,淡泊,,1,0,天赋:淡泊,淡泊,志向,TRUE
246,避世绝俗,3,Self,功绩获取-0.15;声望获取-0.15;负面抗性+0.15,淡泊,,1,0,天赋:隐士,隐士,志向,FALSE
247,儒术,1,Self,经验获取+0.05,儒术,,1,0,,,志向,TRUE
248,儒生,2,Self,经验获取+0.1,儒术,,1,0,天赋:儒术,儒术,志向,TRUE
249,鸿儒大学,3,Self,经验获取+0.15,儒术,,1,0,天赋:儒生,儒生,志向,FALSE
250,修道,1,Self,复生+0.05,修道,,1,0,,,志向,TRUE
251,道士,2,Self,复生+0.1,修道,,1,0,天赋:修道,修道,志向,TRUE
252,仙风道骨,4,Self,复生+0.15,修道,,1,0,天赋:道士,道士,志向,FALSE
253,学佛,1,Self,霸体+0.05,学佛,,1,0,,,志向,TRUE
254,禅师,2,Self,霸体+0.1,学佛,,1,0,天赋:学佛,学佛,志向,TRUE
255,四大皆空,4,Self,霸体+0.15,学佛,,1,0,天赋:禅师,禅师,志向,FALSE
256,行乞,1,Self,横练+0.05,行乞,,1,0,,,志向,TRUE
257,化缘,2,Self,横练+0.1,行乞,,1,0,天赋:行乞,行乞,志向,TRUE
258,游戏人间,4,Self,横练+0.15,行乞,,1,0,天赋:化缘,化缘,志向,FALSE
259,卜算,1,Self,闪避+0.05,卜算,,1,0,,,志向,TRUE
260,相士,2,Self,闪避+0.1,卜算,,1,0,天赋:卜算,卜算,志向,TRUE
261,未卜先知,4,Self,闪避+0.15,卜算,,1,0,天赋:相士,相士,志向,FALSE
262,游侠,1,Self,飘逸+0.05,游侠,,1,0,,,志向,TRUE
263,侠客,2,Self,飘逸+0.1,游侠,,1,0,天赋:游侠,游侠,志向,TRUE
264,侠义无双,4,Self,飘逸+0.15,游侠,,1,0,天赋:侠客,侠客,志向,FALSE
265,赌徒,1,Self,慧眼+0.05,赌徒,,1,0,,,喜好,TRUE
266,嗜赌如命,2,Self,慧眼+0.1,赌徒,,1,0,天赋:赌徒,赌徒,喜好,TRUE
267,赌运亨通,4,Self,慧眼+0.15,赌徒,,1,0,天赋:嗜赌如命,嗜赌如命,喜好,FALSE
268,酒鬼,1,Self,壮骨+0.05,酒鬼,,1,0,,,喜好,TRUE
269,放歌纵酒,2,Self,壮骨+0.1,酒鬼,,1,0,天赋:酒鬼,酒鬼,喜好,TRUE
270,醉生梦死,4,Self,壮骨+0.15,酒鬼,,1,0,天赋:放歌纵酒,放歌纵酒,喜好,FALSE
271,食客,1,Self,活血+0.05,食客,,1,0,,,喜好,TRUE
272,大快朵颐,2,Self,活血+0.1,食客,,1,0,天赋:食客,食客,喜好,TRUE
273,饕餮盛宴,4,Self,活血+0.15,食客,,1,0,天赋:大快朵颐,大快朵颐,喜好,FALSE
274,收藏,1,Self,鹰眼+0.05,收藏,,1,0,,,喜好,TRUE
275,去伪存真,2,Self,鹰眼+0.1,收藏,,1,0,天赋:收藏,收藏,喜好,TRUE
276,慧眼独具,4,Self,鹰眼+0.15,收藏,,1,0,天赋:去伪存真,去伪存真,喜好,FALSE
277,骑术,1,Self,急速+0.05,骑术,,1,0,,,喜好,TRUE
278,纵马驰骋,2,Self,急速+0.1,骑术,,1,0,天赋:骑术,骑术,喜好,TRUE
279,一骑绝尘,4,Self,急速+0.15,骑术,,1,0,天赋:纵马驰骋,纵马驰骋,喜好,FALSE
280,读书,1,Self,定神+0.05,读书,,1,0,,,喜好,TRUE
281,博览群书,2,Self,定神+0.1,读书,,1,0,天赋:读书,读书,喜好,TRUE
282,皓首穷经,4,Self,定神+0.15,读书,,1,0,天赋:博览群书,博览群书,喜好,FALSE
283,瑶琴,1,Self,负面加成+0.05,瑶琴,,1,0,,,喜好,TRUE
284,余音绕梁,2,Self,负面加成+0.1,瑶琴,,1,0,天赋:瑶琴,瑶琴,喜好,TRUE
285,鸾吟凤唱,4,Self,负面加成+0.15,瑶琴,,1,0,天赋:余音绕梁,余音绕梁,喜好,FALSE
286,弈棋,1,Self,破招+0.05,弈棋,,1,0,,,喜好,TRUE
287,棋高一着,2,Self,破招+0.1,弈棋,,1,0,天赋:弈棋,弈棋,喜好,TRUE
288,神机妙算,4,Self,破招+0.15,弈棋,,1,0,天赋:棋高一着,棋高一着,喜好,FALSE
289,书法,1,Self,通脉+0.05,书法,,1,0,,,喜好,TRUE
290,笔走龙蛇,2,Self,通脉+0.1,书法,,1,0,天赋:书法,书法,喜好,TRUE
291,铁画银钩,4,Self,通脉+0.15,书法,,1,0,天赋:笔走龙蛇,笔走龙蛇,喜好,FALSE
292,绘画,1,Self,连绵+0.05,绘画,,1,0,,,喜好,TRUE
293,丹青妙手,2,Self,连绵+0.1,绘画,,1,0,天赋:绘画,绘画,喜好,TRUE
294,妙至毫巅,4,Self,连绵+0.15,绘画,,1,0,天赋:丹青妙手,丹青妙手,喜好,FALSE
295,吟诗,1,Self,醒脑+0.05,吟诗,,1,0,,,喜好,TRUE
296,文思泉涌,2,Self,醒脑+0.1,吟诗,,1,0,天赋:吟诗,吟诗,喜好,TRUE
297,七步成诗,4,Self,醒脑+0.15,吟诗,,1,0,天赋:文思泉涌,文思泉涌,喜好,FALSE
298,狩猎,1,Self,轻灵+0.05,狩猎,,1,0,,,喜好,TRUE
299,飞鹰走犬,2,Self,轻灵+0.1,狩猎,,1,0,天赋:狩猎,狩猎,喜好,TRUE
300,苍鹰搏兔,4,Self,轻灵+0.15,狩猎,,1,0,天赋:飞鹰走犬,飞鹰走犬,喜好,FALSE
301,云游,1,Self,旅行速度+0.1,云游,,1,0,,,喜好,TRUE
302,游山玩水,2,Self,旅行速度+0.2,云游,,1,0,天赋:云游,云游,喜好,TRUE
303,浪迹天涯,4,Self,旅行速度+0.3,云游,,1,0,天赋:游山玩水,游山玩水,喜好,FALSE
304,静修,1,Self,坚毅+0.05,静修,,1,0,,,喜好,TRUE
305,蛰居偃伏,2,Self,坚毅+0.1,静修,,1,0,天赋:静修,静修,喜好,TRUE
306,面壁功深,4,Self,坚毅+0.15,静修,,1,0,天赋:蛰居偃伏,蛰居偃伏,喜好,FALSE
307,舞技,1,Self,舒筋+0.05,舞技,,1,0,,,喜好,TRUE
308,舞态生风,2,Self,舒筋+0.1,舞技,,1,0,天赋:舞技,舞技,喜好,TRUE
309,羽衣蹁跹,4,Self,舒筋+0.15,舞技,,1,0,天赋:舞态生风,舞态生风,喜好,FALSE
310,随从,2,SelfTeam,灵巧+2;体质+2,随从,,1,0,,,战法,TRUE
311,唯命是从,4,SelfTeam,灵巧+4;体质+4,随从,,1,0,天赋:随从,随从,战法,TRUE
312,精明强干,6,SelfTeam,灵巧+6;体质+6,随从,,1,0,天赋:唯命是从,唯命是从,战法,FALSE
313,军师,2,SelfTeam,智力+2;经脉+2,军师,,1,0,,,战法,TRUE
314,排兵布阵,4,SelfTeam,智力+4;经脉+4,军师,,1,0,天赋:军师,军师,战法,TRUE
315,运筹帷幄,6,SelfTeam,智力+6;经脉+6,军师,,1,0,天赋:排兵布阵,排兵布阵,战法,FALSE
316,领袖,2,SelfTeam,力道+2;意志+2,领袖,,1,0,,,战法,TRUE
317,胸怀大志,4,SelfTeam,力道+4;意志+4,领袖,,1,0,天赋:领袖,领袖,战法,TRUE
318,雄才伟略,6,SelfTeam,力道+6;意志+6,领袖,,1,0,天赋:胸怀大志,胸怀大志,战法,FALSE
319,先锋,1,SelfTeam,伤害+0.04;卸力-0.02,先锋,,1,0,,,战法,TRUE
320,奋勇当先,2,SelfTeam,伤害+0.08;卸力-0.04,先锋,,1,0,天赋:先锋,先锋,战法,TRUE
321,背水一战,4,SelfTeam,伤害+0.12;卸力-0.06,先锋,,1,0,天赋:奋勇当先,奋勇当先,战法,FALSE
322,守备,1,SelfTeam,卸力+0.04;速度-0.02,守备,,1,0,,,战法,TRUE
323,戒备森严,2,SelfTeam,卸力+0.08;速度-0.04,守备,,1,0,天赋:守备,守备,战法,TRUE
324,严防死守,4,SelfTeam,卸力+0.12;速度-0.06,守备,,1,0,天赋:戒备森严,戒备森严,战法,FALSE
325,游斗,1,SelfTeam,速度+0.04;伤害-0.02,游斗,,1,0,,,战法,TRUE
326,快步流星,2,SelfTeam,速度+0.08;伤害-0.04,游斗,,1,0,天赋:游斗,游斗,战法,TRUE
327,千里奔袭,4,SelfTeam,速度+0.12;伤害-0.06,游斗,,1,0,天赋:快步流星,快步流星,战法,FALSE
328,精力充沛,2,Self,经验获取+0.2;旅行速度+0.1,,,0,0,,,特效,FALSE
329,腊八粥,2,Self,回血0.01;回内0.01,,,0,0,,,特效,FALSE
330,微醺,1,Self,伤害抗性+0.05;命中-0.05,微醺,,0,0,,,特效,FALSE
331,痛饮,2,Self,伤害抗性+0.1;命中-0.1,微醺,,0,0,,,特效,FALSE
332,大醉,3,Self,伤害抗性+0.15;命中-0.15,微醺,,0,0,,,特效,FALSE
333,酩酊,4,Self,伤害抗性+0.2;命中-0.2,微醺,,0,0,,,特效,FALSE
334,宴会无趣,1,Self,恢复效率+0.02;负面抗性+0.02,宴会无趣,,0,0,,,特效,FALSE
335,宴会平平,2,Self,恢复效率+0.04;负面抗性+0.04,宴会无趣,,0,0,,,特效,FALSE
336,宴会满意,3,Self,恢复效率+0.06;负面抗性+0.06,宴会无趣,,0,0,,,特效,FALSE
337,宴会欢喜,4,Self,恢复效率+0.08;负面抗性+0.08,宴会无趣,,0,0,,,特效,FALSE
338,宴会极乐,5,Self,恢复效率+0.1;负面抗性+0.1,宴会无趣,,0,0,,,特效,FALSE
339,赌运,1,Self,暴击+0.05,赌运,霉运,0,0,,,特效,FALSE
340,霉运,-1,Self,暴击-0.05,霉运,赌运,0,0,,,特效,FALSE
341,论胜,2,Self,理论经验+0.1;技艺经验+0.2,论胜,论败,0,0,,,特效,FALSE
342,论败,-2,Self,理论经验-0.1;技艺经验-0.2,论败,论胜,0,0,,,特效,FALSE
343,轻症,-2,Self,伤害-0.1;速度-0.1,抱恙,,0,0,,,特效,FALSE
344,中症,-6,Self,伤害-0.2;速度-0.2,抱恙,,0,0,,,特效,FALSE
345,重症,-12,Self,伤害-0.4;速度-0.4,抱恙,,0,0,,,特效,FALSE
346,危症,-20,Self,伤害-0.8;速度-0.8,抱恙,,0,0,,,特效,FALSE
347,气息不调,-2,Self,伤害-0.05;速度-0.05;经脉-10,气息不调,,0,0,,,特效,FALSE
348,内息紊乱,-6,Self,伤害-0.1;速度-0.1;经脉-20,气息不调,,0,0,,,特效,FALSE
349,经脉受阻,-12,Self,伤害-0.2;速度-0.2;经脉-40,气息不调,,0,0,,,特效,FALSE
350,经脉断绝,-20,Self,伤害-0.4;速度-0.4;经脉-80,气息不调,,0,0,,,特效,FALSE
351,断臂,-10,Self,伤害-0.4,,,0,0,,,特效,FALSE
352,跛足,-10,Self,速度-0.4,,,0,0,,,特效,FALSE
353,目渺,-10,Self,命中-0.4,,,0,0,,,特效,FALSE
354,理论心得,1,Self,实战经验+0.1,,,0,0,,,特效,FALSE
355,实战心得,1,Self,理论经验+0.1,,,0,0,,,特效,FALSE
356,机关木臂,1,Self,机关伤害+0.1,机关木臂,,1,0,奇门20+智力30,,武学,TRUE
357,机关石臂,2,Self,机关伤害+0.2,机关木臂,,1,0,奇门40+智力60+天赋:机关木臂,机关木臂,武学,TRUE
358,机关铁臂,4,Self,机关伤害+0.3,机关木臂,,1,0,奇门60+智力90+天赋:机关石臂,机关石臂,武学,FALSE
359,机关木轮,1,Self,机关速度+0.1,机关木轮,,1,0,奇门20+智力30,,武学,TRUE
360,机关石轮,2,Self,机关速度+0.2,机关木轮,,1,0,奇门40+智力60+天赋:机关木轮,机关木轮,武学,TRUE
361,机关铁轮,4,Self,机关速度+0.3,机关木轮,,1,0,奇门60+智力90+天赋:机关石轮,机关石轮,武学,FALSE
362,机关木甲,1,Self,机关耐久+0.1,机关木甲,,1,0,奇门20+智力30,,武学,TRUE
363,机关石甲,2,Self,机关耐久+0.2,机关木甲,,1,0,奇门40+智力60+天赋:机关木甲,机关木甲,武学,TRUE
364,机关铁甲,4,Self,机关耐久+0.3,机关木甲,,1,0,奇门60+智力90+天赋:机关石甲,机关石甲,武学,FALSE
365,机关大师,7,Self,机关伤害+0.2;机关速度+0.2;机关耐久+0.2,,,0,0,奇门80+智力100+天赋:机关铁臂+天赋:机关铁轮+天赋:机关铁甲,,高级,FALSE
366,鲁班在世,10,Self,机关伤害+0.4;机关速度+0.4;机关耐久+0.4,,,0,0,奇门90+智力110+天赋:能工巧匠+天赋:机关大师,机关大师,高级,FALSE
367,机关义手,-2,Self,伤害-0.2;连击+0.05;暴击+0.05,,,0,0,,,特效,FALSE
368,手铐,-12,Self,伤害-0.5,,,0,0,,,特效,FALSE
369,脚镣,-12,Self,速度-0.5,,,0,0,,,特效,FALSE
370,机关义手,-1,Self,伤害-0.15;连击+0.05;暴击+0.05,,,0,0,,,特效,FALSE
371,机关义手,1,Self,伤害-0.1;连击+0.05;暴击+0.05,,,0,0,,,特效,FALSE
372,机关义手,2,Self,伤害-0.05;连击+0.05;暴击+0.05,,,0,0,,,特效,FALSE
373,机关义手,4,Self,伤害-0.05;连击+0.1;暴击+0.1,,,0,0,,,特效,FALSE
374,登顶泰岳,10,Self,力道+2;灵巧+2;智力+2;意志+2;体质+2;经脉+2;内功+2;轻功+2;绝技+2;拳掌+2;剑法+2;刀法+2;长兵+2;奇门+2;射术+2,,,0,0,,,特效,FALSE
375,负心人,-3,Self,好感获取-0.3,,,0,0,,,特效,FALSE
376,修行心得,3,Self,实战经验+0.2;理论经验+0.2;技艺经验+0.2,,,0,0,,,特效,FALSE
377,刮骨疗毒,2,Self,医术+10;毒术+5;自愈+3,医毒,毒医,1,0,医术60+毒术40+天赋:医毒,医毒,技艺,TRUE
378,百毒不侵,4,Self,医术+20;毒术+10;自愈+6,医毒,毒医,0,0,医术80+毒术60+天赋:刮骨疗毒+天赋:妙手回春,刮骨疗毒,技艺,FALSE
379,天下第一,8,Self,内功+5;轻功+5;绝技+5;拳掌+5;剑法+5;刀法+5;长兵+5;奇门+5;射术+5,,,0,0,,,特效,FALSE
380,归隐田园,7,Self,医术+10;毒术+10;学识+10;口才+10;采伐+10;木植+10;锻造+10;炼药+10;烹饪+10,,,0,0,,,特效,FALSE
381,豪商巨贾,6,Self,买卖优势+0.2,,,0,0,,,特效,FALSE
382,功成名就,4,Self,功绩获取+0.2,,,0,0,,,特效,FALSE
383,禁军统领,5,Self,经验获取+0.2,,,0,0,,,特效,FALSE
384,权势滔天,4,Self,声望获取+0.2,,,0,0,,,特效,FALSE
385,名门大派,6,Self,本门武学威力+0.2,,,0,0,,,特效,FALSE
386,武林盟主,7,Self,力道+5;灵巧+5;智力+5;意志+5;体质+5;经脉+5,,,0,0,,,特效,FALSE
387,终归一统,10,Self,力道+3;灵巧+3;智力+3;意志+3;体质+3;经脉+3;内功+3;轻功+3;绝技+3;拳掌+3;剑法+3;刀法+3;长兵+3;奇门+3;射术+3;医术+5;毒术+5;学识+5;口才+5;采伐+5;木植+5;锻造+5;炼药+5;烹饪+5,,,0,0,,,特效,FALSE
388,鸾凤和鸣,5,Self,好感获取+0.2,,,0,0,,,特效,FALSE
389,终生监禁,6,Self,恶名减少+0.1,,,0,0,,,特效,FALSE
390,背叛师门,-4,Self,声望获取-0.3;好感获取-0.1,,,0,0,,,特效,FALSE
